level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	10805	-1	
2	1	1	0	0	0	1097	18	25	10	-1	
3	1	1	1	0	0	1097	18	25	10	-1	
4	1	1	1	1	0	1097	18	25	10	-1	
5	1	1	1	1	1	1097	18	25	10	80	Bx
2	1	2	0	0	0	313	61	197	34	-1	
3	1	2	1	0	0	313	61	197	34	-1	
4	1	2	1	1	0	313	61	197	34	-1	
5	1	2	1	1	1	313	61	197	34	90	HARRY’S
2	1	3	0	0	0	176	122	472	15	-1	
3	1	3	1	0	0	176	122	472	15	-1	
4	1	3	1	1	0	176	122	472	15	-1	
5	1	3	1	1	1	176	122	77	13	96	SHOULD
5	1	3	1	1	2	260	123	25	12	93	AN
5	1	3	1	1	3	295	122	66	13	91	8-PACK
5	1	3	1	1	4	370	122	24	13	96	OF
5	1	3	1	1	5	403	122	69	13	95	BLADES
5	1	3	1	1	6	481	122	66	13	96	REALLY
5	1	3	1	1	7	555	122	47	13	95	COST
5	1	3	1	1	8	610	122	38	15	95	$32?
2	1	4	0	0	0	924	135	81	10	-1	
3	1	4	1	0	0	924	135	81	10	-1	
4	1	4	1	1	0	924	135	81	10	-1	
5	1	4	1	1	1	939	136	66	9	9	a
2	1	5	0	0	0	315	154	189	8	-1	
3	1	5	1	0	0	315	154	189	8	-1	
4	1	5	1	1	0	315	154	189	8	-1	
5	1	5	1	1	1	315	154	26	8	70	WE
5	1	5	1	1	2	351	154	56	8	0	RONYT
5	1	5	1	1	3	414	154	57	8	0	TUNE
5	1	5	1	1	4	480	154	24	8	51	CA
2	1	6	0	0	0	92	295	14	14	-1	
3	1	6	1	0	0	92	295	14	14	-1	
4	1	6	1	1	0	92	295	14	14	-1	
5	1	6	1	1	1	92	295	14	14	57	Qa
2	1	7	0	0	0	570	296	42	7	-1	
3	1	7	1	0	0	570	296	42	7	-1	
4	1	7	1	1	0	570	296	42	7	-1	
5	1	7	1	1	1	570	296	42	7	3	ENGLISH
2	1	8	0	0	0	630	296	43	7	-1	
3	1	8	1	0	0	630	296	43	7	-1	
4	1	8	1	1	0	630	296	43	7	-1	
5	1	8	1	1	1	630	296	43	7	84	ESPANOL
2	1	9	0	0	0	1043	286	190	32	-1	
3	1	9	1	0	0	1043	286	190	32	-1	
4	1	9	1	1	0	1043	286	190	32	-1	
5	1	9	1	1	1	1034	282	129	51	35	Eee
5	1	9	1	1	2	1162	282	60	51	23	Ee
2	1	10	0	0	0	40	355	139	11	-1	
3	1	10	1	0	0	40	355	139	11	-1	
4	1	10	1	1	0	40	355	139	11	-1	
5	1	10	1	1	1	40	355	60	11	82	Wednesday,
5	1	10	1	1	2	105	355	31	9	96	March
5	1	10	1	1	3	140	356	8	9	96	4,
5	1	10	1	1	4	153	356	26	8	70	2020,
2	1	11	0	0	0	672	331	20	28	-1	
3	1	11	1	0	0	672	331	20	28	-1	
4	1	11	1	1	0	672	331	20	28	-1	
5	1	11	1	1	1	672	331	20	28	28	v
2	1	12	0	0	0	687	291	168	78	-1	
3	1	12	1	0	0	687	291	168	78	-1	
4	1	12	1	1	0	687	291	168	78	-1	
5	1	12	1	1	1	687	291	20	78	21	ik
5	1	12	1	1	2	727	312	128	57	78	Eimes
2	1	13	0	0	0	1167	355	69	11	-1	
3	1	13	1	0	0	1167	355	69	11	-1	
4	1	13	1	1	0	1167	355	69	11	-1	
5	1	13	1	1	1	1167	355	36	11	81	Today's
5	1	13	1	1	2	1207	355	29	11	95	Paper
2	1	14	0	0	0	425	316	245	56	-1	
3	1	14	1	0	0	425	316	245	56	-1	
4	1	14	1	1	0	425	316	245	56	-1	
5	1	14	1	1	1	425	316	80	49	83	Ehe
5	1	14	1	1	2	512	317	92	46	96	New
5	1	14	1	1	3	613	318	57	54	48	Uo
2	1	15	0	0	0	104	392	29	8	-1	
3	1	15	1	0	0	104	392	29	8	-1	
4	1	15	1	1	0	104	392	29	8	-1	
5	1	15	1	1	1	104	392	29	8	62	World
