level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	9111	-1	
2	1	1	0	0	0	338	18	6	7	-1	
3	1	1	1	0	0	338	18	6	7	-1	
4	1	1	1	1	0	338	18	6	7	-1	
5	1	1	1	1	1	338	18	6	7	0	jn
2	1	2	0	0	0	504	16	7	9	-1	
3	1	2	1	0	0	504	16	7	9	-1	
4	1	2	1	1	0	504	16	7	9	-1	
5	1	2	1	1	1	504	16	7	9	18	a
2	1	3	0	0	0	575	15	11	10	-1	
3	1	3	1	0	0	575	15	11	10	-1	
4	1	3	1	1	0	575	15	11	10	-1	
5	1	3	1	1	1	575	15	11	10	48	ac
2	1	4	0	0	0	1031	17	52	8	-1	
3	1	4	1	0	0	1031	17	52	8	-1	
4	1	4	1	1	0	1031	17	52	8	-1	
5	1	4	1	1	1	1031	17	52	8	4	Td
2	1	5	0	0	0	1110	16	39	9	-1	
3	1	5	1	0	0	1110	16	39	9	-1	
4	1	5	1	1	0	1110	16	39	9	-1	
5	1	5	1	1	1	1110	16	39	9	21	ery
2	1	6	0	0	0	296	15	13	12	-1	
3	1	6	1	0	0	296	15	13	12	-1	
4	1	6	1	1	0	296	15	13	12	-1	
5	1	6	1	1	1	296	15	13	12	25	(ols
2	1	7	0	0	0	449	95	9	6	-1	
3	1	7	1	0	0	449	95	9	6	-1	
4	1	7	1	1	0	449	95	9	6	-1	
5	1	7	1	1	1	449	97	2	4	25	iN
2	1	8	0	0	0	934	89	181	34	-1	
3	1	8	1	0	0	934	89	181	34	-1	
4	1	8	1	1	0	934	89	181	34	-1	
5	1	8	1	1	1	934	89	104	34	92	JOIN
5	1	8	1	1	2	1054	89	61	34	92	US
2	1	9	0	0	0	405	118	45	25	-1	
3	1	9	1	0	0	405	118	45	25	-1	
4	1	9	1	1	0	405	118	45	25	-1	
5	1	9	1	1	1	405	118	45	25	45	col
2	1	10	0	0	0	441	149	12	10	-1	
3	1	10	1	0	0	441	149	12	10	-1	
4	1	10	1	1	0	441	149	12	10	-1	
5	1	10	1	1	1	441	149	12	10	12	7
2	1	11	0	0	0	933	135	104	34	-1	
3	1	11	1	0	0	933	135	104	34	-1	
4	1	11	1	1	0	933	135	104	34	-1	
5	1	11	1	1	1	933	135	104	34	95	AND
2	1	12	0	0	0	478	151	21	29	-1	
3	1	12	1	0	0	470	151	29	29	-1	
4	1	12	1	1	0	478	151	21	29	-1	
5	1	12	1	1	1	478	151	21	29	51	a
2	1	13	0	0	0	40	198	22	13	-1	
3	1	13	1	0	0	40	198	22	13	-1	
4	1	13	1	1	0	40	198	22	13	-1	
5	1	13	1	1	1	40	198	22	13	64	call
2	1	14	0	0	0	577	202	8	7	-1	
3	1	14	1	0	0	577	202	8	7	-1	
4	1	14	1	1	0	577	202	8	7	-1	
