level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	10825	-1	
2	1	1	0	0	0	161	6	208	10	-1	
3	1	1	1	0	0	161	6	208	10	-1	
4	1	1	1	1	0	161	6	208	10	-1	
5	1	1	1	1	1	161	6	25	8	91	DOW
5	1	1	1	1	2	189	6	36	10	96	JONES,
5	1	1	1	1	3	228	6	7	8	87	A
5	1	1	1	1	4	238	6	31	8	87	NEWS
5	1	1	1	1	5	272	6	83	8	89	CORPCOMPANY
5	1	1	1	1	6	361	7	8	6	42	¥
2	1	2	0	0	0	197	31	41	10	-1	
3	1	2	1	0	0	197	31	41	10	-1	
4	1	2	1	1	0	197	31	41	10	-1	
5	1	2	1	1	1	197	31	41	10	5	eT
2	1	3	0	0	0	353	31	11	10	-1	
3	1	3	1	0	0	353	31	11	10	-1	
4	1	3	1	1	0	353	31	11	10	-1	
5	1	3	1	1	1	353	31	11	10	23	ce
2	1	4	0	0	0	397	31	40	10	-1	
3	1	4	1	0	0	397	31	40	10	-1	
4	1	4	1	1	0	397	31	40	10	-1	
5	1	4	1	1	1	397	31	40	10	5	id
2	1	5	0	0	0	549	31	6	8	-1	
3	1	5	1	0	0	549	31	6	8	-1	
4	1	5	1	1	0	549	31	6	8	-1	
5	1	5	1	1	1	549	31	6	8	78	u
2	1	6	0	0	0	572	31	16	10	-1	
3	1	6	1	0	0	572	31	16	10	-1	
4	1	6	1	1	0	572	31	16	10	-1	
5	1	6	1	1	1	572	31	16	10	15	a
2	1	7	0	0	0	612	31	59	10	-1	
3	1	7	1	0	0	612	31	59	10	-1	
4	1	7	1	1	0	612	31	59	10	-1	
5	1	7	1	1	1	612	31	12	10	0	SUE
5	1	7	1	1	2	633	22	10	28	0	ra
5	1	7	1	1	3	646	31	25	10	23	TT
2	1	8	0	0	0	849	31	26	10	-1	
3	1	8	1	0	0	849	31	26	10	-1	
4	1	8	1	1	0	849	31	26	10	-1	
5	1	8	1	1	1	849	31	26	10	21	ra
2	1	9	0	0	0	1010	31	8	10	-1	
3	1	9	1	0	0	1010	31	8	10	-1	
4	1	9	1	1	0	1010	31	8	10	-1	
5	1	9	1	1	1	1010	31	8	10	74	tu
2	1	10	0	0	0	1039	31	28	10	-1	
3	1	10	1	0	0	1039	31	28	10	-1	
4	1	10	1	1	0	1039	31	28	10	-1	
5	1	10	1	1	1	1039	31	28	10	13	hid
2	1	11	0	0	0	1016	72	50	9	-1	
3	1	11	1	0	0	1016	72	50	9	-1	
4	1	11	1	1	0	1016	72	50	9	-1	
5	1	11	1	1	1	1016	72	50	9	88	Subscribe
2	1	12	0	0	0	1085	73	34	10	-1	
3	1	12	1	0	0	1085	73	34	10	-1	
4	1	12	1	1	0	1085	73	34	10	-1	
5	1	12	1	1	1	1085	73	34	10	80	Signin
2	1	13	0	0	0	365	72	550	48	-1	
3	1	13	1	0	0	365	72	550	48	-1	
4	1	13	1	1	0	365	72	550	48	-1	
5	1	13	1	1	1	365	72	81	48	96	THE
5	1	13	1	1	2	456	72	107	48	96	WALL
5	1	13	1	1	3	575	72	148	48	95	STREET
5	1	13	1	1	4	734	72	181	48	94	JOURNAL.
2	1	14	0	0	0	986	99	101	16	-1	
3	1	14	1	0	0	986	99	101	16	-1	
4	1	14	1	1	0	986	99	101	16	-1	
5	1	14	1	1	1	986	99	55	16	96	Special
