level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	10022	-1	
2	1	1	0	0	0	1122	2	5	14	-1	
3	1	1	1	0	0	1122	2	5	14	-1	
4	1	1	1	1	0	1122	2	5	14	-1	
5	1	1	1	1	1	1122	2	5	14	67	il
2	1	2	0	0	0	339	23	16	7	-1	
3	1	2	1	0	0	339	23	16	7	-1	
4	1	2	1	1	0	339	23	16	7	-1	
5	1	2	1	1	1	339	23	16	7	28	=a
2	1	3	0	0	0	1007	1	31	25	-1	
3	1	3	1	0	0	1007	1	31	25	-1	
4	1	3	1	1	0	1007	1	31	25	-1	
5	1	3	1	1	1	1007	1	31	25	24	1
2	1	4	0	0	0	1223	26	20	9	-1	
3	1	4	1	0	0	1223	26	20	9	-1	
4	1	4	1	1	0	1223	26	20	9	-1	
5	1	4	1	1	1	1223	26	20	9	40	Fe
2	1	5	0	0	0	1119	18	8	23	-1	
3	1	5	1	0	0	1119	18	8	23	-1	
4	1	5	1	1	0	1119	18	8	23	-1	
5	1	5	1	1	1	1119	18	8	23	52	i
2	1	6	0	0	0	1269	26	10	29	-1	
3	1	6	1	0	0	1269	26	10	29	-1	
4	1	6	1	1	0	1269	26	10	29	-1	
5	1	6	1	1	1	1269	26	10	29	33	i
2	1	7	0	0	0	421	37	328	38	-1	
3	1	7	1	0	0	421	37	328	38	-1	
4	1	7	1	1	0	421	37	328	38	-1	
5	1	7	1	1	1	421	37	60	30	52	waa
5	1	7	1	1	2	507	38	95	36	82	THE
5	1	7	1	1	3	619	37	130	38	96	FIRST
2	1	8	0	0	0	1161	52	12	37	-1	
3	1	8	1	0	0	1161	52	12	37	-1	
4	1	8	1	1	0	1161	52	12	37	-1	
5	1	8	1	1	1	1161	52	12	37	12	i
2	1	9	0	0	0	1081	49	82	53	-1	
3	1	9	1	0	0	1081	49	82	53	-1	
4	1	9	1	1	0	1081	49	82	53	-1	
5	1	9	1	1	1	1081	49	82	53	25	a
2	1	10	0	0	0	1173	47	18	48	-1	
3	1	10	1	0	0	1173	47	18	48	-1	
4	1	10	1	1	0	1173	47	18	48	-1	
5	1	10	1	1	1	1173	47	18	48	55	i
2	1	11	0	0	0	508	87	271	38	-1	
3	1	11	1	0	0	508	87	271	38	-1	
4	1	11	1	1	0	508	87	271	38	-1	
