level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	9005	-1	
2	1	1	0	0	0	210	72	17	7	-1	
3	1	1	1	0	0	210	72	17	7	-1	
4	1	1	1	1	0	210	72	17	7	-1	
5	1	1	1	1	1	210	72	17	7	51	~
2	1	2	0	0	0	242	73	8	10	-1	
3	1	2	1	0	0	242	73	8	10	-1	
4	1	2	1	1	0	242	73	8	10	-1	
5	1	2	1	1	1	242	73	8	10	12	i
2	1	3	0	0	0	444	61	174	13	-1	
3	1	3	1	0	0	444	61	174	13	-1	
4	1	3	1	1	0	444	61	174	13	-1	
5	1	3	1	1	1	444	61	33	13	96	FROM
5	1	3	1	1	2	482	61	66	13	96	EXECUTIVE
5	1	3	1	1	3	553	61	65	13	94	PRODUCER
2	1	4	0	0	0	186	85	32	8	-1	
3	1	4	1	0	0	186	85	32	8	-1	
4	1	4	1	1	0	186	85	32	8	-1	
5	1	4	1	1	1	186	85	32	8	3	ey
2	1	5	0	0	0	485	79	91	14	-1	
3	1	5	1	0	0	485	79	91	14	-1	
4	1	5	1	1	0	485	79	91	14	-1	
5	1	5	1	1	1	485	79	49	14	85	JORDAN
5	1	5	1	1	2	539	79	37	14	93	PEELE
2	1	6	0	0	0	71	56	68	55	-1	
3	1	6	1	0	0	71	56	68	55	-1	
4	1	6	1	1	0	71	56	68	55	-1	
5	1	6	1	1	1	71	56	68	55	0	mi
2	1	7	0	0	0	794	101	14	13	-1	
3	1	7	1	0	0	794	101	14	13	-1	
4	1	7	1	1	0	794	101	14	13	-1	
5	1	7	1	1	1	794	101	14	13	0	cd]
2	1	8	0	0	0	159	120	28	7	-1	
3	1	8	1	0	0	159	120	28	7	-1	
4	1	8	1	1	0	159	120	28	7	-1	
5	1	8	1	1	1	175	122	12	5	35	_—
2	1	9	0	0	0	427	116	210	12	-1	
3	1	9	1	0	0	427	116	210	12	-1	
4	1	9	1	1	0	427	116	210	12	-1	
5	1	9	1	1	1	427	116	89	12	96	AMAZON
5	1	9	1	1	2	531	116	106	11	95	ORIGINAL
2	1	10	0	0	0	748	104	13	13	-1	
3	1	10	1	0	0	748	104	13	13	-1	
4	1	10	1	1	0	748	104	13	13	-1	
5	1	10	1	1	1	748	104	13	13	91	e
2	1	11	0	0	0	1185	138	6	3	-1	
3	1	11	1	0	0	1185	138	6	3	-1	
4	1	11	1	1	0	1185	138	6	3	-1	
5	1	11	1	1	1	1185	138	6	3	13	-
2	1	12	0	0	0	294	126	35	31	-1	
3	1	12	1	0	0	294	126	35	31	-1	
4	1	12	1	1	0	294	126	35	31	-1	
5	1	12	1	1	1	294	126	35	31	10	yo
2	1	13	0	0	0	1018	115	153	35	-1	
3	1	13	1	0	0	1018	115	153	35	-1	
4	1	13	1	1	0	1018	115	153	35	-1	
5	1	13	1	1	1	1018	115	49	21	26	a
5	1	13	1	1	2	1138	128	33	22	14	ae
2	1	14	0	0	0	1186	140	7	9	-1	
3	1	14	1	0	0	1186	140	7	9	-1	
4	1	14	1	1	0	1186	140	7	9	-1	
5	1	14	1	1	1	1186	140	7	9	0	cf
2	1	15	0	0	0	282	156	13	7	-1	
3	1	15	1	0	0	282	156	13	7	-1	
4	1	15	1	1	0	282	156	13	7	-1	
5	1	15	1	1	1	282	156	13	7	77	%
2	1	16	0	0	0	104	166	15	12	-1	
3	1	16	1	0	0	104	166	15	12	-1	
4	1	16	1	1	0	104	166	15	12	-1	
5	1	16	1	1	1	104	166	15	12	63	dd
2	1	17	0	0	0	245	152	26	24	-1	
3	1	17	1	0	0	245	152	26	24	-1	
4	1	17	1	1	0	245	152	26	24	-1	
5	1	17	1	1	1	245	152	26	24	72	¥
2	1	18	0	0	0	133	171	19	26	-1	
3	1	18	1	0	0	133	171	19	26	-1	
4	1	18	1	1	0	133	171	19	26	-1	
5	1	18	1	1	1	133	171	19	26	36	#
2	1	19	0	0	0	248	171	18	15	-1	
3	1	19	1	0	0	248	171	18	15	-1	
4	1	19	1	1	0	248	171	18	15	-1	
5	1	19	1	1	1	251	166	8	30	20	Ss
2	1	20	0	0	0	426	132	215	74	-1	
3	1	20	1	0	0	426	132	215	74	-1	
4	1	20	1	1	0	426	132	215	74	-1	
5	1	20	1	1	1	426	132	215	74	96	UNTER
2	1	21	0	0	0	118	212	17	7	-1	
3	1	21	1	0	0	118	212	17	7	-1	
4	1	21	1	1	0	118	212	17	7	-1	
5	1	21	1	1	1	118	212	17	7	50	EN
2	1	22	0	0	0	168	218	16	15	-1	
3	1	22	1	0	0	168	218	16	15	-1	
4	1	22	1	1	0	168	218	16	15	-1	
5	1	22	1	1	1	168	218	16	15	41	\"
2	1	23	0	0	0	223	222	25	16	-1	
3	1	23	1	0	0	223	222	25	16	-1	
4	1	23	1	1	0	223	222	25	16	-1	
5	1	23	1	1	1	223	222	25	16	61	ray
2	1	24	0	0	0	432	234	84	12	-1	
3	1	24	1	0	0	432	234	84	12	-1	
4	1	24	1	1	0	432	234	84	12	-1	
5	1	24	1	1	1	432	234	32	11	96	NEW
5	1	24	1	1	2	468	234	48	12	95	SERIES
2	1	25	0	0	0	560	233	80	16	-1	
3	1	25	1	0	0	560	233	80	16	-1	
4	1	25	1	1	0	560	233	80	16	-1	
5	1	25	1	1	1	560	236	27	13	92	ime
5	1	25	1	1	2	591	233	49	16	92	video
2	1	26	0	0	0	175	256	13	5	-1	
3	1	26	1	0	0	175	256	13	5	-1	
4	1	26	1	1	0	175	256	13	5	-1	
5	1	26	1	1	1	175	256	13	5	38	i
2	1	27	0	0	0	424	248	93	11	-1	
3	1	27	1	0	0	424	248	93	11	-1	
4	1	27	1	1	0	424	248	93	11	-1	
5	1	27	1	1	1	424	248	51	11	96	WATCH
5	1	27	1	1	2	480	248	37	11	95	NOW
2	1	28	0	0	0	525	233	34	27	-1	
3	1	28	1	0	0	525	233	34	27	-1	
4	1	28	1	1	0	525	233	34	27	-1	
5	1	28	1	1	1	525	233	34	27	0	|p
2	1	29	0	0	0	560	252	55	14	-1	
3	1	29	1	0	0	560	252	55	14	-1	
