level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	17550	-1	
2	1	1	0	0	0	58	17	40	12	-1	
3	1	1	1	0	0	58	17	40	12	-1	
4	1	1	1	1	0	58	17	40	12	-1	
5	1	1	1	1	1	58	17	40	12	18	ena
2	1	2	0	0	0	114	16	336	14	-1	
3	1	2	1	0	0	114	16	336	14	-1	
4	1	2	1	1	0	114	16	336	14	-1	
5	1	2	1	1	1	114	18	112	12	0	COPIER
5	1	2	1	1	2	231	17	64	13	14	attendee
5	1	2	1	1	3	310	17	31	13	1	enka
5	1	2	1	1	4	371	17	22	10	0	ec
5	1	2	1	1	5	407	16	16	11	0	koA
5	1	2	1	1	6	429	17	21	10	2	Uy
2	1	3	0	0	0	1240	14	16	16	-1	
3	1	3	1	0	0	1240	14	16	16	-1	
4	1	3	1	1	0	1240	14	16	16	-1	
5	1	3	1	1	1	1240	14	16	16	23	Od
2	1	4	0	0	0	140	68	24	10	-1	
3	1	4	1	0	0	140	68	24	10	-1	
4	1	4	1	1	0	140	68	24	10	-1	
5	1	4	1	1	1	140	68	24	10	20	is
2	1	5	0	0	0	185	68	36	10	-1	
3	1	5	1	0	0	185	68	36	10	-1	
4	1	5	1	1	0	185	68	36	10	-1	
5	1	5	1	1	1	185	68	36	10	6	aC)
2	1	6	0	0	0	311	67	46	11	-1	
3	1	6	1	0	0	311	67	46	11	-1	
4	1	6	1	1	0	311	67	46	11	-1	
5	1	6	1	1	1	311	67	46	11	15	ono
2	1	7	0	0	0	378	68	89	10	-1	
3	1	7	1	0	0	378	68	89	10	-1	
4	1	7	1	1	0	378	68	89	10	-1	
5	1	7	1	1	1	378	68	89	10	12	eT
2	1	8	0	0	0	488	68	56	10	-1	
3	1	8	1	0	0	488	68	56	10	-1	
4	1	8	1	1	0	488	68	56	10	-1	
5	1	8	1	1	1	488	68	56	10	21	Creare’
2	1	9	0	0	0	639	68	17	10	-1	
3	1	9	1	0	0	639	68	17	10	-1	
4	1	9	1	1	0	639	68	17	10	-1	
5	1	9	1	1	1	644	59	8	28	35	Ww
2	1	10	0	0	0	677	68	66	10	-1	
3	1	10	1	0	0	677	68	66	10	-1	
4	1	10	1	1	0	677	68	66	10	-1	
5	1	10	1	1	1	703	68	40	10	9	EL
2	1	11	0	0	0	765	68	37	10	-1	
3	1	11	1	0	0	765	68	37	10	-1	
4	1	11	1	1	0	765	68	37	10	-1	
5	1	11	1	1	1	765	68	37	10	30	fica)
2	1	12	0	0	0	823	68	32	10	-1	
3	1	12	1	0	0	823	68	32	10	-1	
4	1	12	1	1	0	823	68	32	10	-1	
5	1	12	1	1	1	823	68	32	10	95	More
2	1	13	0	0	0	1130	66	31	12	-1	
3	1	13	1	0	0	1130	66	31	12	-1	
4	1	13	1	1	0	1130	66	31	12	-1	
5	1	13	1	1	1	1130	66	31	12	96	Login
2	1	14	0	0	0	1190	65	56	10	-1	
3	1	14	1	0	0	1190	65	56	10	-1	
4	1	14	1	1	0	1190	65	56	10	-1	
5	1	14	1	1	1	1190	65	56	10	17	Pa
2	1	15	0	0	0	242	68	47	13	-1	
3	1	15	1	0	0	242	68	47	13	-1	
4	1	15	1	1	0	242	68	47	13	-1	
5	1	15	1	1	1	242	68	47	13	36	Oia
2	1	16	0	0	0	565	67	53	14	-1	
3	1	16	1	0	0	565	67	53	14	-1	
4	1	16	1	1	0	565	67	53	14	-1	
