level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	10053	-1	
2	1	1	0	0	0	161	6	208	10	-1	
3	1	1	1	0	0	161	6	208	10	-1	
4	1	1	1	1	0	161	6	208	10	-1	
5	1	1	1	1	1	161	6	25	8	91	DOW
5	1	1	1	1	2	189	6	36	10	96	JONES,
5	1	1	1	1	3	228	6	7	8	87	A
5	1	1	1	1	4	238	6	31	8	87	NEWS
5	1	1	1	1	5	272	6	83	8	89	CORPCOMPANY
5	1	1	1	1	6	361	7	8	6	42	¥
2	1	2	0	0	0	232	31	32	10	-1	
3	1	2	1	0	0	232	31	32	10	-1	
4	1	2	1	1	0	232	31	32	10	-1	
5	1	2	1	1	1	232	31	32	10	86	25369
2	1	3	0	0	0	418	31	47	10	-1	
3	1	3	1	0	0	418	31	47	10	-1	
4	1	3	1	1	0	418	31	47	10	-1	
5	1	3	1	1	1	418	31	47	10	2	Oey)
2	1	4	0	0	0	624	31	65	10	-1	
3	1	4	1	0	0	624	31	65	10	-1	
4	1	4	1	1	0	624	31	65	10	-1	
5	1	4	1	1	1	624	31	12	10	23	127/32
5	1	4	1	1	2	648	31	41	10	23	Yield
2	1	5	0	0	0	854	31	28	10	-1	
3	1	5	1	0	0	854	31	28	10	-1	
4	1	5	1	1	0	854	31	28	10	-1	
5	1	5	1	1	1	854	31	28	10	0	cee
2	1	6	0	0	0	1017	34	1	7	-1	
3	1	6	1	0	0	1017	34	1	7	-1	
4	1	6	1	1	0	1017	34	1	7	-1	
5	1	6	1	1	1	1017	34	1	7	0	qi
2	1	7	0	0	0	1035	31	31	10	-1	
3	1	7	1	0	0	1035	31	31	10	-1	
4	1	7	1	1	0	1035	31	31	10	-1	
5	1	7	1	1	1	1035	31	31	10	0	ane
2	1	8	0	0	0	1016	72	50	9	-1	
3	1	8	1	0	0	1016	72	50	9	-1	
4	1	8	1	1	0	1016	72	50	9	-1	
5	1	8	1	1	1	1016	72	50	9	88	Subscribe
2	1	9	0	0	0	1085	73	34	10	-1	
3	1	9	1	0	0	1085	73	34	10	-1	
4	1	9	1	1	0	1085	73	34	10	-1	
5	1	9	1	1	1	1085	73	34	10	80	Signin
2	1	10	0	0	0	365	72	550	48	-1	
3	1	10	1	0	0	365	72	550	48	-1	
4	1	10	1	1	0	365	72	550	48	-1	
5	1	10	1	1	1	365	72	81	48	96	THE
5	1	10	1	1	2	456	72	107	48	96	WALL
5	1	10	1	1	3	575	72	148	48	95	STREET
5	1	10	1	1	4	734	72	181	48	94	JOURNAL.
2	1	11	0	0	0	986	99	101	16	-1	
3	1	11	1	0	0	986	99	101	16	-1	
4	1	11	1	1	0	986	99	101	16	-1	
5	1	11	1	1	1	986	99	55	16	96	Special
5	1	11	1	1	2	1046	99	41	13	96	Offer
2	1	12	0	0	0	480	132	88	11	-1	
3	1	12	1	0	0	480	132	88	11	-1	
4	1	12	1	1	0	480	132	88	11	-1	
5	1	12	1	1	1	480	132	37	11	96	English
5	1	12	1	1	2	521	132	36	9	91	Edition
5	1	12	1	1	3	564	134	4	4	46	¥
2	1	13	0	0	0	591	132	73	9	-1	
3	1	13	1	0	0	591	132	73	9	-1	
4	1	13	1	1	0	591	132	73	9	-1	
5	1	13	1	1	1	591	132	41	9	74	March
5	1	13	1	1	2	637	132	27	9	74	6,2020
2	1	14	0	0	0	686	132	64	9	-1	
3	1	14	1	0	0	686	132	64	9	-1	
4	1	14	1	1	0	686	132	64	9	-1	
5	1	14	1	1	1	686	132	24	9	96	Print
5	1	14	1	1	2	714	132	36	9	81	Edition
2	1	15	0	0	0	771	132	29	9	-1	
3	1	15	1	0	0	771	132	29	9	-1	
4	1	15	1	1	0	771	132	29	9	-1	
5	1	15	1	1	1	771	132	29	9	90	Video
2	1	16	0	0	0	224	161	35	10	-1	
3	1	16	1	0	0	224	161	35	10	-1	
4	1	16	1	1	0	224	161	35	10	-1	
5	1	16	1	1	1	224	161	35	10	96	Home
2	1	17	0	0	0	280	161	37	10	-1	
3	1	17	1	0	0	280	161	37	10	-1	
4	1	17	1	1	0	280	161	37	10	-1	
5	1	17	1	1	1	280	161	37	10	94	World
2	1	18	0	0	0	338	161	20	10	-1	
3	1	18	1	0	0	338	161	20	10	-1	
4	1	18	1	1	0	338	161	20	10	-1	
5	1	18	1	1	1	338	161	20	10	76	us.
2	1	19	0	0	0	382	161	43	10	-1	
3	1	19	1	0	0	382	161	43	10	-1	
4	1	19	1	1	0	382	161	43	10	-1	
5	1	19	1	1	1	382	161	43	10	78	Politics
2	1	20	0	0	0	447	161	55	12	-1	
3	1	20	1	0	0	447	161	55	12	-1	
4	1	20	1	1	0	447	161	55	12	-1	
5	1	20	1	1	1	447	161	55	12	94	Economy
2	1	21	0	0	0	524	161	53	10	-1	
3	1	21	1	0	0	524	161	53	10	-1	
4	1	21	1	1	0	524	161	53	10	-1	
5	1	21	1	1	1	524	161	53	10	88	Business
2	1	22	0	0	0	598	161	28	10	-1	
3	1	22	1	0	0	598	161	28	10	-1	
4	1	22	1	1	0	598	161	28	10	-1	
5	1	22	1	1	1	598	161	28	10	96	Tech
2	1	23	0	0	0	648	161	50	10	-1	
3	1	23	1	0	0	648	161	50	10	-1	
4	1	23	1	1	0	648	161	50	10	-1	
5	1	23	1	1	1	648	161	50	10	82	Markets
2	1	24	0	0	0	719	161	47	12	-1	
3	1	24	1	0	0	719	161	47	12	-1	
4	1	24	1	1	0	719	161	47	12	-1	
5	1	24	1	1	1	719	161	47	12	96	Opinion
2	1	25	0	0	0	788	161	63	10	-1	
3	1	25	1	0	0	788	161	63	10	-1	
4	1	25	1	1	0	788	161	63	10	-1	
5	1	25	1	1	1	788	161	21	10	91	Life
5	1	25	1	1	2	813	161	8	10	91	&
5	1	25	1	1	3	825	161	26	10	96	Arts
2	1	26	0	0	0	872	161	70	10	-1	
3	1	26	1	0	0	872	161	70	10	-1	
4	1	26	1	1	0	872	161	70	10	-1	
5	1	26	1	1	1	872	161	70	10	83	RealEstate
2	1	27	0	0	0	963	161	94	13	-1	
3	1	27	1	0	0	963	161	94	13	-1	
4	1	27	1	1	0	963	161	94	13	-1	
5	1	27	1	1	1	963	161	27	10	52	WSJ.
5	1	27	1	1	2	997	161	60	13	93	Magazine
2	1	28	0	0	0	1095	157	21	19	-1	
3	1	28	1	0	0	1095	157	21	19	-1	
4	1	28	1	1	0	1095	157	21	19	-1	
5	1	28	1	1	1	1095	157	21	19	82	Q
2	1	29	0	0	0	156	210	83	10	-1	
3	1	29	1	0	0	156	210	83	10	-1	
4	1	29	1	1	0	156	210	83	10	-1	
5	1	29	1	1	1	149	201	30	28	93	WSJ
5	1	29	1	1	2	183	201	56	28	90	MESSAGE
2	1	30	0	0	0	316	210	596	12	-1	
3	1	30	1	0	0	316	210	596	12	-1	
4	1	30	1	1	0	316	210	596	12	-1	
5	1	30	1	1	1	316	210	27	10	67	WS,
5	1	30	1	1	2	348	211	37	9	89	wants
5	1	30	1	1	3	388	211	13	9	96	to
5	1	30	1	1	4	405	210	26	10	96	hear
5	1	30	1	1	5	434	210	30	10	96	from
5	1	30	1	1	6	468	213	24	9	95	you.
5	1	30	1	1	7	495	210	29	10	96	Take
5	1	30	1	1	8	527	211	25	11	95	part
5	1	30	1	1	9	556	213	10	7	95	in
5	1	30	1	1	10	569	210	23	10	96	this
5	1	30	1	1	11	596	210	32	10	96	short
5	1	30	1	1	12	632	212	40	10	96	survey
5	1	30	1	1	13	675	211	13	9	96	to
5	1	30	1	1	14	692	210	25	12	94	help
5	1	30	1	1	15	720	210	36	12	96	shape
5	1	30	1	1	16	760	210	23	10	94	The
5	1	30	1	1	17	786	210	48	10	93	Journal.
5	1	30	1	1	18	837	210	29	10	96	Take
5	1	30	1	1	19	870	210	42	12	77	Survey.
2	1	31	0	0	0	1105	205	20	20	-1	
3	1	31	1	0	0	1105	205	20	20	-1	
4	1	31	1	1	0	1105	205	20	20	-1	
5	1	31	1	1	1	1105	205	20	20	57	@
2	1	32	0	0	0	300	296	559	20	-1	
3	1	32	1	0	0	300	296	559	20	-1	
4	1	32	1	1	0	300	296	559	20	-1	
5	1	32	1	1	1	300	296	53	20	95	THE
5	1	32	1	1	2	360	296	106	20	95	HIDDEN
5	1	32	1	1	3	472	296	89	20	96	VALUE
5	1	32	1	1	4	567	296	37	20	96	OF
5	1	32	1	1	5	610	296	126	20	96	CULTURE
5	1	32	1	1	6	743	296	116	20	95	MAKERS
2	1	33	0	0	0	917	290	69	18	-1	
3	1	33	1	0	0	917	290	69	18	-1	
4	1	33	1	1	0	917	290	69	18	-1	
5	1	33	1	1	1	917	290	69	18	7	pected
2	1	34	0	0	0	300	330	396	14	-1	
3	1	34	1	0	0	300	330	396	14	-1	
4	1	34	1	1	0	300	330	396	14	-1	
5	1	34	1	1	1	300	330	37	11	96	When
5	1	34	1	1	2	342	330	46	11	96	culture
5	1	34	1	1	3	394	330	46	11	96	makers
5	1	34	1	1	4	446	330	30	12	96	lead,
5	1	34	1	1	5	482	332	90	12	96	organizations
5	1	34	1	1	6	576	334	33	10	96	grow
5	1	34	1	1	7	614	332	35	9	96	twice
5	1	34	1	1	8	654	334	14	7	96	as
5	1	34	1	1	9	672	330	24	11	96	fast
2	1	35	0	0	0	717	327	67	16	-1	
3	1	35	1	0	0	717	327	67	16	-1	
4	1	35	1	1	0	717	327	67	16	-1	
5	1	35	1	1	1	710	323	11	30	29	|
5	1	35	1	1	2	720	323	33	30	5	teann
5	1	35	1	1	3	753	323	20	30	5	now
2	1	36	0	0	0	895	336	31	8	-1	
3	1	36	1	0	0	895	336	31	8	-1	
4	1	36	1	1	0	895	336	31	8	-1	
5	1	36	1	1	1	895	336	31	8	7	cs)
2	1	37	0	0	0	811	410	298	11	-1	
3	1	37	1	0	0	811	410	298	11	-1	
4	1	37	1	1	0	811	410	298	11	-1	
5	1	37	1	1	1	811	410	17	11	96	US
5	1	37	1	1	2	844	411	52	10	96	EUROPE
5	1	37	1	1	3	912	411	31	10	95	ASIA
5	1	37	1	1	4	959	411	15	10	95	FX
5	1	37	1	1	5	990	411	42	10	96	RATES
5	1	37	1	1	6	1048	411	61	10	88	FUTURES
2	1	38	0	0	0	1096	436	14	10	-1	
3	1	38	1	0	0	1096	436	14	10	-1	
4	1	38	1	1	0	1096	436	14	10	-1	
5	1	38	1	1	1	1099	427	7	28	34	»D
2	1	39	0	0	0	171	415	555	34	-1	
3	1	39	1	0	0	171	415	555	34	-1	
4	1	39	1	1	0	171	415	555	34	-1	
5	1	39	1	1	1	171	415	88	26	96	Bonds
5	1	39	1	1	2	268	415	102	27	96	Extend
5	1	39	1	1	3	378	415	75	34	96	Rally
5	1	39	1	1	4	479	424	12	17	97	as
5	1	39	1	1	5	500	415	130	27	96	Investors
5	1	39	1	1	6	639	415	87	34	96	Dump
2	1	40	0	0	0	1094	461	15	9	-1	
3	1	40	1	0	0	1094	461	15	9	-1	
4	1	40	1	1	0	1094	461	15	9	-1	
5	1	40	1	1	1	1094	461	15	9	85	5D
2	1	41	0	0	0	172	452	94	27	-1	
3	1	41	1	0	0	172	452	94	27	-1	
4	1	41	1	1	0	172	452	94	27	-1	
5	1	41	1	1	1	172	452	94	27	71	Stocks
2	1	42	0	0	0	1092	485	17	9	-1	
3	1	42	1	0	0	1092	485	17	9	-1	
4	1	42	1	1	0	1092	485	17	9	-1	
5	1	42	1	1	1	1092	485	17	9	52	3M
2	1	43	0	0	0	171	494	196	14	-1	
3	1	43	1	0	0	171	494	196	14	-1	
4	1	43	1	1	0	171	494	196	14	-1	
5	1	43	1	1	1	171	495	58	10	96	Investors
5	1	43	1	1	2	233	494	63	11	96	continued
5	1	43	1	1	3	300	496	12	9	89	to
5	1	43	1	1	4	316	495	23	13	89	pile
5	1	43	1	1	5	343	496	24	9	96	into
2	1	44	0	0	0	411	497	133	14	-1	
3	1	44	1	0	0	411	497	133	14	-1	
4	1	44	1	1	0	411	497	133	14	-1	
5	1	44	1	1	1	411	497	23	11	85	USS.
5	1	44	1	1	2	444	497	58	14	93	Treasury
5	1	44	1	1	3	507	497	37	14	96	yields
2	1	45	0	0	0	811	485	271	28	-1	
3	1	45	1	0	0	811	485	271	28	-1	
4	1	45	1	1	0	811	485	271	28	-1	
5	1	45	1	1	1	811	485	271	28	18	NR
5	1	45	1	1	2	1013	481	60	37	25	aca
2	1	46	0	0	0	1091	509	18	9	-1	
3	1	46	1	0	0	1091	509	18	9	-1	
4	1	46	1	1	0	1091	509	18	9	-1	
5	1	46	1	1	1	1091	509	18	9	50	om
2	1	47	0	0	0	171	514	225	14	-1	
3	1	47	1	0	0	171	514	225	14	-1	
4	1	47	1	1	0	171	514	225	14	-1	
5	1	47	1	1	1	171	514	68	11	90	safe-haven
5	1	47	1	1	2	243	516	41	11	92	assets,
5	1	47	1	1	3	289	514	50	14	96	pushing
5	1	47	1	1	4	342	514	20	11	96	the
5	1	47	1	1	5	366	514	30	14	96	yield
2	1	48	0	0	0	171	534	188	14	-1	
3	1	48	1	0	0	171	534	188	14	-1	
4	1	48	1	1	0	171	534	188	14	-1	
5	1	48	1	1	1	171	538	15	7	74	on
5	1	48	1	1	2	189	534	63	14	74	long-term
5	1	48	1	1	3	256	535	23	10	91	U.S.
5	1	48	1	1	4	283	536	76	12	95	government
2	1	49	0	0	0	422	531	18	9	-1	
3	1	49	1	0	0	422	531	18	9	-1	
4	1	49	1	1	0	422	531	18	9	-1	
5	1	49	1	1	1	422	531	18	9	57	3%
2	1	50	0	0	0	1097	533	13	9	-1	
3	1	50	1	0	0	1097	533	13	9	-1	
4	1	50	1	1	0	1097	533	13	9	-1	
5	1	50	1	1	1	1097	533	13	9	54	v
2	1	51	0	0	0	412	551	16	9	-1	
3	1	51	1	0	0	412	551	16	9	-1	
4	1	51	1	1	0	412	551	16	9	-1	
5	1	51	1	1	1	412	551	16	9	70	3.0
2	1	52	0	0	0	170	554	219	14	-1	
3	1	52	1	0	0	170	554	219	14	-1	
4	1	52	1	1	0	170	554	219	14	-1	
5	1	52	1	1	1	170	554	38	11	96	bonds
5	1	52	1	1	2	212	556	12	9	96	to
5	1	52	1	1	3	228	554	95	14	93	unprecedented
5	1	52	1	1	4	327	554	35	11	96	levels
