level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	10146	-1	
2	1	1	0	0	0	161	6	208	10	-1	
3	1	1	1	0	0	161	6	208	10	-1	
4	1	1	1	1	0	161	6	208	10	-1	
5	1	1	1	1	1	161	6	25	8	91	DOW
5	1	1	1	1	2	189	6	36	10	96	JONES,
5	1	1	1	1	3	228	6	7	8	87	A
5	1	1	1	1	4	238	6	31	8	87	NEWS
5	1	1	1	1	5	272	6	83	8	89	CORPCOMPANY
5	1	1	1	1	6	361	7	8	6	42	¥
2	1	2	0	0	0	197	31	27	10	-1	
3	1	2	1	0	0	197	31	27	10	-1	
4	1	2	1	1	0	197	31	27	10	-1	
5	1	2	1	1	1	197	31	27	10	15	Ee
2	1	3	0	0	0	357	31	6	10	-1	
3	1	3	1	0	0	357	31	6	10	-1	
4	1	3	1	1	0	357	31	6	10	-1	
5	1	3	1	1	1	357	31	6	10	37	ct
2	1	4	0	0	0	408	31	33	10	-1	
3	1	4	1	0	0	408	31	33	10	-1	
4	1	4	1	1	0	408	31	33	10	-1	
5	1	4	1	1	1	408	31	33	10	22	OE
2	1	5	0	0	0	585	33	13	8	-1	
3	1	5	1	0	0	585	33	13	8	-1	
4	1	5	1	1	0	585	33	13	8	-1	
5	1	5	1	1	1	585	33	13	8	29	oY
2	1	6	0	0	0	623	31	41	10	-1	
3	1	6	1	0	0	623	31	41	10	-1	
4	1	6	1	1	0	623	31	41	10	-1	
5	1	6	1	1	1	623	31	41	10	0	Pare)
2	1	7	0	0	0	838	31	29	10	-1	
3	1	7	1	0	0	838	31	29	10	-1	
4	1	7	1	1	0	838	31	29	10	-1	
5	1	7	1	1	1	838	31	13	10	0	coe
2	1	8	0	0	0	1056	31	12	10	-1	
3	1	8	1	0	0	1056	31	12	10	-1	
4	1	8	1	1	0	1056	31	12	10	-1	
5	1	8	1	1	1	1056	31	12	10	30	a
2	1	9	0	0	0	1016	72	50	9	-1	
3	1	9	1	0	0	1016	72	50	9	-1	
4	1	9	1	1	0	1016	72	50	9	-1	
5	1	9	1	1	1	1016	72	50	9	88	Subscribe
2	1	10	0	0	0	1085	73	34	10	-1	
3	1	10	1	0	0	1085	73	34	10	-1	
4	1	10	1	1	0	1085	73	34	10	-1	
5	1	10	1	1	1	1085	73	34	10	80	Signin
2	1	11	0	0	0	365	72	550	48	-1	
3	1	11	1	0	0	365	72	550	48	-1	
4	1	11	1	1	0	365	72	550	48	-1	
5	1	11	1	1	1	365	72	81	48	96	THE
5	1	11	1	1	2	456	72	107	48	96	WALL
5	1	11	1	1	3	575	72	148	48	95	STREET
5	1	11	1	1	4	734	72	181	48	94	JOURNAL.
2	1	12	0	0	0	986	99	101	16	-1	
3	1	12	1	0	0	986	99	101	16	-1	
4	1	12	1	1	0	986	99	101	16	-1	
5	1	12	1	1	1	986	99	55	16	96	Special
5	1	12	1	1	2	1046	99	41	13	96	Offer
2	1	13	0	0	0	481	132	88	11	-1	
3	1	13	1	0	0	481	132	88	11	-1	
4	1	13	1	1	0	481	132	88	11	-1	
5	1	13	1	1	1	481	132	37	11	95	English
5	1	13	1	1	2	522	132	36	9	92	Edition
5	1	13	1	1	3	565	134	4	4	73	¥
2	1	14	0	0	0	592	132	71	9	-1	
3	1	14	1	0	0	592	132	71	9	-1	
4	1	14	1	1	0	592	132	71	9	-1	
5	1	14	1	1	1	592	132	38	9	30	March’,
5	1	14	1	1	2	636	132	27	9	30	2020
2	1	15	0	0	0	685	132	64	9	-1	
3	1	15	1	0	0	685	132	64	9	-1	
4	1	15	1	1	0	685	132	64	9	-1	
5	1	15	1	1	1	685	132	24	9	96	Print
5	1	15	1	1	2	713	132	36	9	78	Edition
2	1	16	0	0	0	770	132	29	9	-1	
3	1	16	1	0	0	770	132	29	9	-1	
4	1	16	1	1	0	770	132	29	9	-1	
5	1	16	1	1	1	770	132	29	9	90	Video
2	1	17	0	0	0	224	161	35	10	-1	
3	1	17	1	0	0	224	161	35	10	-1	
4	1	17	1	1	0	224	161	35	10	-1	
