level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	7915	-1	
2	1	1	0	0	0	31	23	14	14	-1	
3	1	1	1	0	0	31	23	14	14	-1	
4	1	1	1	1	0	31	23	14	14	-1	
5	1	1	1	1	1	31	23	14	14	48	fey
2	1	2	0	0	0	82	24	54	9	-1	
3	1	2	1	0	0	82	24	54	9	-1	
4	1	2	1	1	0	82	24	54	9	-1	
5	1	2	1	1	1	82	24	54	9	8	See
2	1	3	0	0	0	197	25	46	9	-1	
3	1	3	1	0	0	197	25	46	9	-1	
4	1	3	1	1	0	197	25	46	9	-1	
5	1	3	1	1	1	197	25	46	9	32	erty
2	1	4	0	0	0	264	25	55	11	-1	
3	1	4	1	0	0	264	25	55	11	-1	
4	1	4	1	1	0	264	25	55	11	-1	
5	1	4	1	1	1	264	25	55	11	18	Orne
2	1	5	0	0	0	341	25	88	11	-1	
3	1	5	1	0	0	341	25	88	11	-1	
4	1	5	1	1	0	341	25	88	11	-1	
5	1	5	1	1	1	341	25	41	9	11	To
5	1	5	1	1	2	383	25	46	11	33	cy
2	1	6	0	0	0	451	25	86	9	-1	
3	1	6	1	0	0	451	25	86	9	-1	
4	1	6	1	1	0	451	25	86	9	-1	
5	1	6	1	1	1	451	25	86	9	4	ete)
2	1	7	0	0	0	558	25	28	9	-1	
3	1	7	1	0	0	558	25	28	9	-1	
4	1	7	1	1	0	558	25	28	9	-1	
5	1	7	1	1	1	558	25	28	9	90	Tech
2	1	8	0	0	0	608	25	36	9	-1	
3	1	8	1	0	0	608	25	36	9	-1	
4	1	8	1	1	0	608	25	36	9	-1	
5	1	8	1	1	1	608	25	36	9	0	aT
2	1	9	0	0	0	1017	24	42	11	-1	
3	1	9	1	0	0	1017	24	42	11	-1	
4	1	9	1	1	0	1017	24	42	11	-1	
5	1	9	1	1	1	1017	24	27	11	87	Sign
5	1	9	1	1	2	1049	24	10	9	85	In
2	1	10	0	0	0	1130	23	115	12	-1	
3	1	10	1	0	0	1130	23	115	12	-1	
4	1	10	1	1	0	1130	23	115	12	-1	
5	1	10	1	1	1	1130	24	22	9	96	Get
5	1	10	1	1	2	1156	24	6	9	94	1
5	1	10	1	1	3	1163	15	31	28	95	year
5	1	10	1	1	4	1198	15	17	28	96	for
5	1	10	1	1	5	1221	23	24	11	96	$29
2	1	11	0	0	0	457	89	404	62	-1	
3	1	11	1	0	0	457	89	404	62	-1	
4	1	11	1	1	0	457	89	404	62	-1	
5	1	11	1	1	1	457	98	67	46	96	The
5	1	11	1	1	2	535	89	229	60	95	Washington
5	1	11	1	1	3	775	98	86	53	96	Post
2	1	12	0	0	0	66	169	79	9	-1	
3	1	12	1	0	0	66	169	79	9	-1	
4	1	12	1	1	0	66	169	79	9	-1	
5	1	12	1	1	1	66	169	34	8	95	March
5	1	12	1	1	2	104	169	9	9	63	5,
5	1	12	1	1	3	117	169	28	8	63	2020
2	1	13	0	0	0	562	164	194	16	-1	
3	1	13	1	0	0	562	164	194	16	-1	
4	1	13	1	1	0	562	164	194	16	-1	
5	1	13	1	1	1	562	165	77	15	96	Democracy
5	1	13	1	1	2	643	164	29	12	96	Dies
5	1	13	1	1	3	676	164	12	12	94	in
5	1	13	1	1	4	693	164	63	12	94	Darkness
2	1	14	0	0	0	1055	168	158	10	-1	
3	1	14	1	0	0	1055	168	158	10	-1	
4	1	14	1	1	0	1055	168	158	10	-1	
5	1	14	1	1	1	1055	168	36	8	93	Edition:
5	1	14	1	1	2	1096	168	16	8	86	U.S.
5	1	14	1	1	3	1118	168	7	8	93	&
5	1	14	1	1	4	1129	168	28	8	95	World
5	1	14	1	1	5	1163	168	1	10	96	|
5	1	14	1	1	6	1170	168	43	10	86	Regional
2	1	15	0	0	0	66	208	518	11	-1	
3	1	15	1	0	0	66	208	518	11	-1	
4	1	15	1	1	0	66	208	518	11	-1	
5	1	15	1	1	1	66	209	37	10	95	Inthe
5	1	15	1	1	2	108	208	35	11	95	News
5	1	15	1	1	3	159	209	74	10	92	Coronavirus
5	1	15	1	1	4	249	200	34	28	73	Travel
5	1	15	1	1	5	286	200	74	28	54	restrictions
5	1	15	1	1	6	367	200	59	28	47	Madein
5	1	15	1	1	7	426	200	39	28	47	China
