level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	17704	-1	
2	1	1	0	0	0	58	17	40	12	-1	
3	1	1	1	0	0	58	17	40	12	-1	
4	1	1	1	1	0	58	17	40	12	-1	
5	1	1	1	1	1	58	17	40	12	18	ena
2	1	2	0	0	0	114	18	10	9	-1	
3	1	2	1	0	0	114	18	10	9	-1	
4	1	2	1	1	0	114	18	10	9	-1	
5	1	2	1	1	1	114	18	10	9	77	ite
2	1	3	0	0	0	138	16	312	14	-1	
3	1	3	1	0	0	138	16	312	14	-1	
4	1	3	1	1	0	138	16	312	14	-1	
5	1	3	1	1	1	138	20	13	7	5	CUE
5	1	3	1	1	2	231	17	44	13	8	aired
5	1	3	1	1	3	300	8	13	29	13	ov
5	1	3	1	1	4	310	17	55	13	0	enka
5	1	3	1	1	5	411	16	12	11	5	kA
5	1	3	1	1	6	427	17	23	10	5	Us
2	1	4	0	0	0	1240	14	16	16	-1	
3	1	4	1	0	0	1240	14	16	16	-1	
4	1	4	1	1	0	1240	14	16	16	-1	
5	1	4	1	1	1	1240	14	16	16	23	Od
2	1	5	0	0	0	140	68	24	10	-1	
3	1	5	1	0	0	140	68	24	10	-1	
4	1	5	1	1	0	140	68	24	10	-1	
5	1	5	1	1	1	140	68	24	10	20	is
2	1	6	0	0	0	185	68	36	10	-1	
3	1	6	1	0	0	185	68	36	10	-1	
4	1	6	1	1	0	185	68	36	10	-1	
5	1	6	1	1	1	185	68	36	10	6	aC)
2	1	7	0	0	0	311	67	46	11	-1	
3	1	7	1	0	0	311	67	46	11	-1	
4	1	7	1	1	0	311	67	46	11	-1	
5	1	7	1	1	1	311	67	46	11	15	ono
2	1	8	0	0	0	378	68	89	10	-1	
3	1	8	1	0	0	378	68	89	10	-1	
4	1	8	1	1	0	378	68	89	10	-1	
5	1	8	1	1	1	378	68	89	10	12	eT
2	1	9	0	0	0	488	68	56	10	-1	
3	1	9	1	0	0	488	68	56	10	-1	
4	1	9	1	1	0	488	68	56	10	-1	
5	1	9	1	1	1	488	68	56	10	21	Creare’
2	1	10	0	0	0	639	68	17	10	-1	
3	1	10	1	0	0	639	68	17	10	-1	
4	1	10	1	1	0	639	68	17	10	-1	
5	1	10	1	1	1	644	59	8	28	35	Ww
2	1	11	0	0	0	677	68	66	10	-1	
3	1	11	1	0	0	677	68	66	10	-1	
4	1	11	1	1	0	677	68	66	10	-1	
