level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	8520	-1	
2	1	1	0	0	0	31	23	14	14	-1	
3	1	1	1	0	0	31	23	14	14	-1	
4	1	1	1	1	0	31	23	14	14	-1	
5	1	1	1	1	1	31	23	14	14	48	fey
2	1	2	0	0	0	82	24	54	9	-1	
3	1	2	1	0	0	82	24	54	9	-1	
4	1	2	1	1	0	82	24	54	9	-1	
5	1	2	1	1	1	82	24	54	9	8	See
2	1	3	0	0	0	146	33	15	2	-1	
3	1	3	1	0	0	146	33	15	2	-1	
4	1	3	1	1	0	146	33	15	2	-1	
5	1	3	1	1	1	146	33	15	2	96	=
2	1	4	0	0	0	197	25	46	9	-1	
3	1	4	1	0	0	197	25	46	9	-1	
4	1	4	1	1	0	197	25	46	9	-1	
5	1	4	1	1	1	197	25	46	9	32	erty
2	1	5	0	0	0	264	25	55	11	-1	
3	1	5	1	0	0	264	25	55	11	-1	
4	1	5	1	1	0	264	25	55	11	-1	
5	1	5	1	1	1	264	25	55	11	18	Orne
2	1	6	0	0	0	341	25	88	11	-1	
3	1	6	1	0	0	341	25	88	11	-1	
4	1	6	1	1	0	341	25	88	11	-1	
5	1	6	1	1	1	341	25	88	11	21	UC
2	1	7	0	0	0	451	25	86	9	-1	
3	1	7	1	0	0	451	25	86	9	-1	
4	1	7	1	1	0	451	25	86	9	-1	
5	1	7	1	1	1	451	25	86	9	4	ete)
2	1	8	0	0	0	558	25	28	9	-1	
3	1	8	1	0	0	558	25	28	9	-1	
4	1	8	1	1	0	558	25	28	9	-1	
5	1	8	1	1	1	558	25	28	9	90	Tech
2	1	9	0	0	0	608	25	36	9	-1	
3	1	9	1	0	0	608	25	36	9	-1	
4	1	9	1	1	0	608	25	36	9	-1	
5	1	9	1	1	1	608	25	36	9	0	aT
2	1	10	0	0	0	1017	24	71	11	-1	
3	1	10	1	0	0	1017	24	71	11	-1	
4	1	10	1	1	0	1017	24	71	11	-1	
5	1	10	1	1	1	1070	29	18	6	6	a
2	1	11	0	0	0	1130	23	115	12	-1	
3	1	11	1	0	0	1130	23	115	12	-1	
4	1	11	1	1	0	1130	23	115	12	-1	
5	1	11	1	1	1	1130	24	22	9	96	Get
5	1	11	1	1	2	1156	24	6	9	94	1
5	1	11	1	1	3	1163	15	31	28	95	year
5	1	11	1	1	4	1198	15	17	28	96	for
5	1	11	1	1	5	1221	23	24	11	96	$29
2	1	12	0	0	0	99	85	65	19	-1	
3	1	12	1	0	0	99	85	65	19	-1	
4	1	12	1	1	0	99	85	65	19	-1	
5	1	12	1	1	1	89	81	26	33	5	bY
5	1	12	1	1	2	114	85	50	19	0	Treires
2	1	13	0	0	0	164	89	33	16	-1	
3	1	13	1	0	0	164	89	33	16	-1	
4	1	13	1	1	0	164	89	33	16	-1	
5	1	13	1	1	1	164	89	33	16	23	ity
2	1	14	0	0	0	1054	88	159	17	-1	
3	1	14	1	0	0	1054	88	159	17	-1	
4	1	14	1	1	0	1054	88	159	17	-1	
5	1	14	1	1	1	1054	89	37	16	96	You
5	1	14	1	1	2	1098	88	52	17	96	don’t
5	1	14	1	1	3	1158	89	55	16	95	know
2	1	15	0	0	0	92	111	109	23	-1	
3	1	15	1	0	0	92	111	109	23	-1	
4	1	15	1	1	0	92	111	109	23	-1	
5	1	15	1	1	1	92	111	109	23	18	Br
2	1	16	0	0	0	1069	113	127	17	-1	
3	1	16	1	0	0	1069	113	127	17	-1	
4	1	16	1	1	0	1069	113	127	17	-1	
5	1	16	1	1	1	1069	114	33	16	96	the
5	1	16	1	1	2	1109	114	38	16	96	half
5	1	16	1	1	3	1153	113	20	17	96	of
5	1	16	1	1	4	1180	114	16	16	96	it.
2	1	17	0	0	0	457	89	404	62	-1	
3	1	17	1	0	0	457	89	404	62	-1	
4	1	17	1	1	0	457	89	404	62	-1	
5	1	17	1	1	1	457	98	68	46	96	The
5	1	17	1	1	2	535	89	229	60	95	Washington
5	1	17	1	1	3	775	98	86	53	96	Post
2	1	18	0	0	0	66	169	79	9	-1	
3	1	18	1	0	0	66	169	79	9	-1	
4	1	18	1	1	0	66	169	79	9	-1	
5	1	18	1	1	1	66	169	34	8	93	March
5	1	18	1	1	2	104	169	9	9	63	4,
5	1	18	1	1	3	117	169	28	8	63	2020
2	1	19	0	0	0	562	164	194	16	-1	
3	1	19	1	0	0	562	164	194	16	-1	
4	1	19	1	1	0	562	164	194	16	-1	
5	1	19	1	1	1	562	165	77	15	96	Democracy
5	1	19	1	1	2	643	164	29	12	96	Dies
5	1	19	1	1	3	676	164	12	12	94	in
5	1	19	1	1	4	693	164	63	12	94	Darkness
2	1	20	0	0	0	1055	168	158	10	-1	
3	1	20	1	0	0	1055	168	158	10	-1	
4	1	20	1	1	0	1055	168	158	10	-1	
5	1	20	1	1	1	1055	168	36	8	93	Edition:
5	1	20	1	1	2	1096	168	16	8	86	U.S.
5	1	20	1	1	3	1118	168	7	8	93	&
