level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	9163	-1	
2	1	1	0	0	0	577	61	16	13	-1	
3	1	1	1	0	0	577	61	16	13	-1	
4	1	1	1	1	0	577	61	16	13	-1	
5	1	1	1	1	1	577	61	16	13	41	G
2	1	2	0	0	0	255	56	179	29	-1	
3	1	2	1	0	0	255	56	179	29	-1	
4	1	2	1	1	0	255	56	179	29	-1	
5	1	2	1	1	1	255	56	179	29	95	G-SHOCK
2	1	3	0	0	0	911	82	27	5	-1	
3	1	3	1	0	0	911	82	27	5	-1	
4	1	3	1	1	0	911	82	27	5	-1	
5	1	3	1	1	1	911	82	27	5	44	ony
2	1	4	0	0	0	545	89	14	13	-1	
3	1	4	1	0	0	545	89	14	13	-1	
4	1	4	1	1	0	545	89	14	13	-1	
5	1	4	1	1	1	545	89	14	13	38	lod
2	1	5	0	0	0	689	107	10	6	-1	
3	1	5	1	0	0	689	107	10	6	-1	
4	1	5	1	1	0	689	107	10	6	-1	
5	1	5	1	1	1	689	107	10	6	35	2
2	1	6	0	0	0	617	126	34	21	-1	
3	1	6	1	0	0	617	126	34	21	-1	
4	1	6	1	1	0	617	126	34	21	-1	
5	1	6	1	1	1	617	126	34	21	9	be
2	1	7	0	0	0	221	135	245	33	-1	
3	1	7	1	0	0	221	135	245	33	-1	
4	1	7	1	1	0	221	135	245	33	-1	
5	1	7	1	1	1	239	135	5	33	16	7
5	1	7	1	1	2	305	131	45	53	5	ed
5	1	7	1	1	3	348	135	118	33	15	Gala
2	1	8	0	0	0	220	183	247	16	-1	
3	1	8	1	0	0	220	183	247	16	-1	
4	1	8	1	1	0	220	183	247	16	-1	
5	1	8	1	1	1	220	183	247	16	94	COLLECTION
2	1	9	0	0	0	684	207	5	5	-1	
3	1	9	1	0	0	684	207	5	5	-1	
4	1	9	1	1	0	684	207	5	5	-1	
5	1	9	1	1	1	684	207	5	5	0	rs
2	1	10	0	0	0	290	235	109	15	-1	
3	1	10	1	0	0	290	235	109	15	-1	
4	1	10	1	1	0	290	235	109	15	-1	
5	1	10	1	1	1	290	235	55	15	96	SHOP
5	1	10	1	1	2	353	235	46	15	95	NOW
2	1	11	0	0	0	73	324	8	9	-1	
3	1	11	1	0	0	73	324	8	9	-1	
4	1	11	1	1	0	73	324	8	9	-1	
5	1	11	1	1	1	73	324	8	9	34	iv
2	1	12	0	0	0	107	324	36	10	-1	
3	1	12	1	0	0	107	324	36	10	-1	
4	1	12	1	1	0	107	324	36	10	-1	
5	1	12	1	1	1	107	324	36	10	85	World
2	1	13	0	0	0	161	324	36	10	-1	
3	1	13	1	0	0	161	324	36	10	-1	
4	1	13	1	1	0	161	324	36	10	-1	
5	1	13	1	1	1	161	324	36	10	44	folie
2	1	14	0	0	0	223	324	40	10	-1	
3	1	14	1	0	0	223	324	40	10	-1	
4	1	14	1	1	0	223	324	40	10	-1	
5	1	14	1	1	1	223	324	40	10	4	feet
2	1	15	0	0	0	296	324	48	12	-1	
3	1	15	1	0	0	296	324	48	12	-1	
4	1	15	1	1	0	296	324	48	12	-1	
5	1	15	1	1	1	296	324	48	12	10	Colton)
2	1	16	0	0	0	362	324	8	10	-1	
3	1	16	1	0	0	362	324	8	10	-1	
4	1	16	1	1	0	362	324	8	10	-1	
5	1	16	1	1	1	362	324	8	10	21	i
2	1	17	0	0	0	376	324	26	10	-1	
3	1	17	1	0	0	376	324	26	10	-1	
4	1	17	1	1	0	376	324	26	10	-1	
5	1	17	1	1	1	376	324	26	10	11	rN
2	1	18	0	0	0	420	324	91	10	-1	
3	1	18	1	0	0	420	324	91	10	-1	
4	1	18	1	1	0	420	324	91	10	-1	
5	1	18	1	1	1	420	324	91	10	26	eres
2	1	19	0	0	0	575	324	11	10	-1	
3	1	19	1	0	0	575	324	11	10	-1	
4	1	19	1	1	0	575	324	11	10	-1	
5	1	19	1	1	1	575	324	11	10	32	ac
2	1	20	0	0	0	602	324	9	10	-1	
3	1	20	1	0	0	602	324	9	10	-1	
4	1	20	1	1	0	602	324	9	10	-1	
5	1	20	1	1	1	602	324	9	10	29	rl
2	1	21	0	0	0	647	325	17	9	-1	
3	1	21	1	0	0	647	325	17	9	-1	
4	1	21	1	1	0	647	325	17	9	-1	
5	1	21	1	1	1	647	325	17	9	43	at
2	1	22	0	0	0	690	327	8	7	-1	
3	1	22	1	0	0	690	327	8	7	-1	
4	1	22	1	1	0	690	327	8	7	-1	
5	1	22	1	1	1	690	327	8	7	15	Tr
2	1	23	0	0	0	1031	326	52	8	-1	
3	1	23	1	0	0	1031	326	52	8	-1	
4	1	23	1	1	0	1031	326	52	8	-1	
5	1	23	1	1	1	1031	326	52	8	0	id
2	1	24	0	0	0	1110	326	57	8	-1	
3	1	24	1	0	0	1110	326	57	8	-1	
4	1	24	1	1	0	1110	326	57	8	-1	
5	1	24	1	1	1	1141	315	14	28	0	aa
2	1	25	0	0	0	1195	320	14	14	-1	
3	1	25	1	0	0	1195	320	14	14	-1	
4	1	25	1	1	0	1195	320	14	14	-1	
5	1	25	1	1	1	1195	320	14	14	92	Q
2	1	26	0	0	0	302	374	86	10	-1	
3	1	26	1	0	0	302	374	86	10	-1	
4	1	26	1	1	0	302	374	86	10	-1	
5	1	26	1	1	1	302	374	38	10	96	Travel
5	1	26	1	1	2	345	374	43	10	96	advice
2	1	27	0	0	0	409	374	89	10	-1	
