level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	10449	-1	
2	1	1	0	0	0	1013	64	12	3	-1	
3	1	1	1	0	0	1013	64	12	3	-1	
4	1	1	1	1	0	1013	64	12	3	-1	
5	1	1	1	1	1	1013	64	12	3	33	=
2	1	2	0	0	0	1224	58	55	12	-1	
3	1	2	1	0	0	1224	58	55	12	-1	
4	1	2	1	1	0	1224	58	55	12	-1	
5	1	2	1	1	1	1224	58	55	12	17	Bays
2	1	3	0	0	0	533	64	44	16	-1	
3	1	3	1	0	0	533	64	44	16	-1	
4	1	3	1	1	0	533	64	44	16	-1	
5	1	3	1	1	1	533	64	44	16	28	oT
2	1	4	0	0	0	597	64	97	14	-1	
3	1	4	1	0	0	597	64	97	14	-1	
4	1	4	1	1	0	597	64	97	14	-1	
5	1	4	1	1	1	597	64	97	14	0	MTuschntey
2	1	5	0	0	0	1052	69	13	23	-1	
3	1	5	1	0	0	1052	69	13	23	-1	
4	1	5	1	1	0	1052	69	13	23	-1	
5	1	5	1	1	1	1052	69	13	23	34	a)
2	1	6	0	0	0	533	96	350	24	-1	
3	1	6	1	0	0	533	96	350	24	-1	
4	1	6	1	1	0	533	96	350	24	-1	
5	1	6	1	1	1	533	97	64	23	96	The
5	1	6	1	1	2	604	97	85	23	94	truth
5	1	6	1	1	3	697	97	60	23	94	has
5	1	6	1	1	4	763	104	22	16	51	a
5	1	6	1	1	5	790	96	93	24	51	voice.
2	1	7	0	0	0	200	116	103	12	-1	
3	1	7	1	0	0	200	116	103	12	-1	
4	1	7	1	1	0	200	116	103	12	-1	
5	1	7	1	1	1	200	116	66	12	17	OEM
2	1	8	0	0	0	1054	123	7	7	-1	
3	1	8	1	0	0	1054	123	7	7	-1	
4	1	8	1	1	0	1054	123	7	7	-1	
5	1	8	1	1	1	1054	123	7	7	15	i
2	1	9	0	0	0	570	286	42	7	-1	
3	1	9	1	0	0	570	286	42	7	-1	
4	1	9	1	1	0	570	286	42	7	-1	
5	1	9	1	1	1	570	286	42	7	61	ENGUSH
2	1	10	0	0	0	630	286	43	7	-1	
3	1	10	1	0	0	630	286	43	7	-1	
4	1	10	1	1	0	630	286	43	7	-1	
5	1	10	1	1	1	630	286	43	7	80	ESPANOL
2	1	11	0	0	0	92	285	14	14	-1	
3	1	11	1	0	0	92	285	14	14	-1	
4	1	11	1	1	0	92	285	14	14	-1	
5	1	11	1	1	1	92	285	14	14	59	Qa
2	1	12	0	0	0	1043	276	190	32	-1	
3	1	12	1	0	0	1043	276	190	32	-1	
4	1	12	1	1	0	1043	276	190	32	-1	
5	1	12	1	1	1	1081	272	82	51	67	==)
5	1	12	1	1	2	1166	272	69	51	20	Ee)
2	1	13	0	0	0	40	345	134	11	-1	
3	1	13	1	0	0	40	345	134	11	-1	
4	1	13	1	1	0	40	345	134	11	-1	
5	1	13	1	1	1	40	345	48	11	74	‘Thursday,
5	1	13	1	1	2	93	345	31	9	96	March
5	1	13	1	1	3	129	346	15	9	96	12,
5	1	13	1	1	4	148	346	26	8	84	2020
2	1	14	0	0	0	672	321	20	28	-1	
3	1	14	1	0	0	672	321	20	28	-1	
4	1	14	1	1	0	672	321	20	28	-1	
5	1	14	1	1	1	672	321	20	28	29	r
2	1	15	0	0	0	691	284	164	75	-1	
3	1	15	1	0	0	691	284	164	75	-1	
4	1	15	1	1	0	691	284	164	75	-1	
5	1	15	1	1	1	691	284	28	65	57	k
5	1	15	1	1	2	727	302	128	57	88	Eimes
2	1	16	0	0	0	1167	345	69	11	-1	
3	1	16	1	0	0	1167	345	69	11	-1	
4	1	16	1	1	0	1167	345	69	11	-1	
5	1	16	1	1	1	1167	345	36	11	75	Today's
5	1	16	1	1	2	1207	345	29	11	93	Paper
2	1	17	0	0	0	425	306	245	56	-1	
3	1	17	1	0	0	425	306	245	56	-1	
4	1	17	1	1	0	425	306	245	56	-1	
5	1	17	1	1	1	425	306	79	49	90	Ehe
5	1	17	1	1	2	512	307	92	46	95	New
5	1	17	1	1	3	613	308	57	54	57	Yo
2	1	18	0	0	0	104	381	29	9	-1	
3	1	18	1	0	0	104	381	29	9	-1	
4	1	18	1	1	0	104	381	29	9	-1	
5	1	18	1	1	1	104	381	29	9	80	World
2	1	19	0	0	0	158	381	16	9	-1	
3	1	19	1	0	0	158	381	16	9	-1	
4	1	19	1	1	0	158	381	16	9	-1	
5	1	19	1	1	1	158	381	16	9	96	us.
2	1	20	0	0	0	203	381	35	9	-1	
3	1	20	1	0	0	203	381	35	9	-1	
4	1	20	1	1	0	203	381	35	9	-1	
5	1	20	1	1	1	203	381	35	9	56	Politics
2	1	21	0	0	0	263	381	18	9	-1	
3	1	21	1	0	0	263	381	18	9	-1	
4	1	21	1	1	0	263	381	18	9	-1	
5	1	21	1	1	1	263	381	18	9	68	NY.
2	1	22	0	0	0	306	381	45	9	-1	
3	1	22	1	0	0	306	381	45	9	-1	
4	1	22	1	1	0	306	381	45	9	-1	
5	1	22	1	1	1	306	381	45	9	94	Business
2	1	23	0	0	0	375	381	38	11	-1	
3	1	23	1	0	0	375	381	38	11	-1	
4	1	23	1	1	0	375	381	38	11	-1	
5	1	23	1	1	1	375	381	38	11	88	Opinion
