level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	8915	-1	
2	1	1	0	0	0	788	34	288	16	-1	
3	1	1	1	0	0	788	34	288	16	-1	
4	1	1	1	1	0	788	34	288	16	-1	
5	1	1	1	1	1	788	34	50	16	91	IDAHO
5	1	1	1	1	2	860	34	84	16	93	MICHIGAN
5	1	1	1	1	3	966	34	110	16	95	MISSISSIPPI
2	1	2	0	0	0	190	87	189	10	-1	
3	1	2	1	0	0	190	87	189	10	-1	
4	1	2	1	1	0	190	87	189	10	-1	
5	1	2	1	1	1	190	87	33	10	75	IDAHO
5	1	2	1	1	2	238	87	55	10	81	MICHIGAN
5	1	2	1	1	3	308	87	71	10	79	MISSISSIPPI
2	1	3	0	0	0	33	102	503	39	-1	
3	1	3	1	0	0	33	102	503	39	-1	
4	1	3	1	1	0	33	102	503	39	-1	
5	1	3	1	1	1	33	102	503	39	29	ee)
2	1	4	0	0	0	741	130	83	16	-1	
3	1	4	1	0	0	741	130	83	16	-1	
4	1	4	1	1	0	741	130	83	16	-1	
5	1	4	1	1	1	741	130	83	16	95	MISSOURI
2	1	5	0	0	0	846	130	266	16	-1	
3	1	5	1	0	0	846	130	266	16	-1	
4	1	5	1	1	0	846	130	266	16	-1	
5	1	5	1	1	1	846	130	53	16	96	NORTH
5	1	5	1	1	2	913	130	65	16	95	DAKOTA
5	1	5	1	1	3	999	130	113	16	95	WASHINGTON
2	1	6	0	0	0	161	146	54	11	-1	
3	1	6	1	0	0	161	146	54	11	-1	
4	1	6	1	1	0	161	146	54	11	-1	
5	1	6	1	1	1	161	146	54	11	10	wissourl
2	1	7	0	0	0	232	146	176	11	-1	
3	1	7	1	0	0	232	146	176	11	-1	
4	1	7	1	1	0	232	146	176	11	-1	
5	1	7	1	1	1	232	138	36	28	87	WORTH
5	1	7	1	1	2	276	146	43	10	73	DAKOTA
5	1	7	1	1	3	335	146	73	11	82	WASHINGTON
2	1	8	0	0	0	192	184	187	17	-1	
3	1	8	1	0	0	192	184	187	17	-1	
4	1	8	1	1	0	192	184	187	17	-1	
5	1	8	1	1	1	192	184	61	17	95	SPECIAL
5	1	8	1	1	2	263	184	31	17	95	LIVE
5	1	8	1	1	3	303	184	76	17	96	COVERAGE
2	1	9	0	0	0	792	176	266	24	-1	
3	1	9	1	0	0	792	176	266	24	-1	
4	1	9	1	1	0	792	176	266	24	-1	
5	1	9	1	1	1	792	176	88	24	96	SPECIAL
5	1	9	1	1	2	893	176	43	23	96	LIVE
5	1	9	1	1	3	950	176	108	24	96	COVERAGE
2	1	10	0	0	0	957	239	14	18	-1	
3	1	10	1	0	0	957	239	14	18	-1	
4	1	10	1	1	0	957	239	14	18	-1	
5	1	10	1	1	1	957	239	14	18	63	P
2	1	11	0	0	0	957	260	27	17	-1	
3	1	11	1	0	0	957	260	27	17	-1	
4	1	11	1	1	0	957	260	27	17	-1	
5	1	11	1	1	1	957	260	27	17	91	ET
2	1	12	0	0	0	11	274	78	35	-1	
3	1	12	1	0	0	11	274	78	35	-1	
4	1	12	1	1	0	11	274	78	35	-1	
5	1	12	1	1	1	11	274	78	35	61	Oo
2	1	13	0	0	0	296	335	13	12	-1	
3	1	13	1	0	0	296	335	13	12	-1	
4	1	13	1	1	0	296	335	13	12	-1	
5	1	13	1	1	1	296	335	13	12	25	(ols
2	1	14	0	0	0	338	338	6	7	-1	
3	1	14	1	0	0	338	338	6	7	-1	
4	1	14	1	1	0	338	338	6	7	-1	
5	1	14	1	1	1	338	338	6	7	0	jn
2	1	15	0	0	0	504	336	7	9	-1	
3	1	15	1	0	0	504	336	7	9	-1	
4	1	15	1	1	0	504	336	7	9	-1	
5	1	15	1	1	1	504	336	7	9	18	a
2	1	16	0	0	0	575	335	11	10	-1	
3	1	16	1	0	0	575	335	11	10	-1	
4	1	16	1	1	0	575	335	11	10	-1	
5	1	16	1	1	1	575	335	11	10	48	ac
2	1	17	0	0	0	1031	337	52	8	-1	
3	1	17	1	0	0	1031	337	52	8	-1	
4	1	17	1	1	0	1031	337	52	8	-1	
5	1	17	1	1	1	1031	337	52	8	4	Td
2	1	18	0	0	0	1110	336	39	9	-1	
3	1	18	1	0	0	1110	336	39	9	-1	
4	1	18	1	1	0	1110	336	39	9	-1	
5	1	18	1	1	1	1110	336	39	9	21	ery
2	1	19	0	0	0	90	385	192	12	-1	
3	1	19	1	0	0	90	385	192	12	-1	
4	1	19	1	1	0	90	385	192	12	-1	
5	1	19	1	1	1	90	385	99	10	89	CORONAVIRUS:
5	1	19	1	1	2	198	385	25	10	96	Live
5	1	19	1	1	3	228	385	54	12	95	updates
2	1	20	0	0	0	303	385	17	10	-1	
3	1	20	1	0	0	303	385	17	10	-1	
4	1	20	1	1	0	303	385	17	10	-1	
5	1	20	1	1	1	303	385	17	10	95	us
2	1	21	0	0	0	341	385	134	12	-1	
3	1	21	1	0	0	341	385	134	12	-1	
4	1	21	1	1	0	341	385	134	12	-1	
5	1	21	1	1	1	341	385	43	12	34	Flights
5	1	21	1	1	2	405	385	70	12	72	Symptoms
2	1	22	0	0	0	495	385	214	10	-1	
3	1	22	1	0	0	495	385	214	10	-1	
4	1	22	1	1	0	495	385	214	10	-1	
5	1	22	1	1	1	495	385	70	10	80	TRENDING:
5	1	22	1	1	2	574	385	27	10	70	‘The
5	1	22	1	1	3	607	385	61	10	18	Bachelor’
5	1	22	1	1	4	673	385	36	10	95	finale
2	1	23	0	0	0	730	385	128	12	-1	
3	1	23	1	0	0	730	385	128	12	-1	
4	1	23	1	1	0	730	385	128	12	-1	
5	1	23	1	1	1	730	385	41	10	96	States
5	1	23	1	1	2	776	385	40	12	94	voting
5	1	23	1	1	3	821	385	37	12	96	today
2	1	24	0	0	0	879	385	104	12	-1	
3	1	24	1	0	0	879	385	104	12	-1	
4	1	24	1	1	0	879	385	104	12	-1	
5	1	24	1	1	1	879	385	44	10	94	iPhone
5	1	24	1	1	2	928	385	55	12	92	cleaning
2	1	25	0	0	0	1005	385	125	12	-1	
3	1	25	1	0	0	1005	385	125	12	-1	
4	1	25	1	1	0	1005	385	125	12	-1	
5	1	25	1	1	1	1005	385	23	10	95	Holi
5	1	25	1	1	2	1033	385	46	10	95	festival
5	1	25	1	1	3	1085	385	45	12	89	photos
2	1	26	0	0	0	890	424	86	14	-1	
3	1	26	1	0	0	890	424	86	14	-1	
4	1	26	1	1	0	890	424	86	14	-1	
5	1	26	1	1	1	890	424	28	14	95	Top
5	1	26	1	1	2	924	424	52	11	95	stories
2	1	27	0	0	0	126	417	377	33	-1	
3	1	27	1	0	0	126	417	377	33	-1	
4	1	27	1	1	0	126	417	377	33	-1	
5	1	27	1	1	1	126	417	44	27	96	US
5	1	27	1	1	2	182	417	137	27	96	markets
5	1	27	1	1	3	327	423	85	27	96	jump
5	1	27	1	1	4	423	417	80	27	96	after
2	1	28	0	0	0	1100	481	30	5	-1	
