level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	10170	-1	
2	1	1	0	0	0	654	30	129	17	-1	
3	1	1	1	0	0	654	30	129	17	-1	
4	1	1	1	1	0	654	30	129	17	-1	
5	1	1	1	1	1	654	30	16	17	62	@
5	1	1	1	1	2	682	31	101	16	90	ROTHY'S
2	1	2	0	0	0	625	125	1	6	-1	
3	1	2	1	0	0	625	125	1	6	-1	
4	1	2	1	1	0	625	125	1	6	-1	
5	1	2	1	1	1	625	125	1	6	53	1
2	1	3	0	0	0	386	123	53	14	-1	
3	1	3	1	0	0	386	123	53	14	-1	
4	1	3	1	1	0	386	123	53	14	-1	
5	1	3	1	1	1	386	123	53	14	31	ers
2	1	4	0	0	0	651	128	430	24	-1	
3	1	4	1	0	0	651	128	430	24	-1	
4	1	4	1	1	0	651	128	430	24	-1	
5	1	4	1	1	1	651	128	22	24	92	A
5	1	4	1	1	2	685	135	59	17	92	new
5	1	4	1	1	3	757	128	58	24	95	kind
5	1	4	1	1	4	828	128	31	24	96	of
5	1	4	1	1	5	868	130	149	22	96	statement
5	1	4	1	1	6	1030	128	51	24	96	baa
2	1	5	0	0	0	92	285	14	14	-1	
3	1	5	1	0	0	92	285	14	14	-1	
4	1	5	1	1	0	92	285	14	14	-1	
5	1	5	1	1	1	92	285	14	14	59	Qa
2	1	6	0	0	0	570	286	42	7	-1	
3	1	6	1	0	0	570	286	42	7	-1	
4	1	6	1	1	0	570	286	42	7	-1	
5	1	6	1	1	1	570	286	42	7	61	ENGUSH
2	1	7	0	0	0	630	286	43	7	-1	
3	1	7	1	0	0	630	286	43	7	-1	
4	1	7	1	1	0	630	286	43	7	-1	
5	1	7	1	1	1	630	286	43	7	80	ESPANOL
2	1	8	0	0	0	1043	276	190	32	-1	
3	1	8	1	0	0	1043	276	190	32	-1	
4	1	8	1	1	0	1043	276	190	32	-1	
5	1	8	1	1	1	1081	272	82	51	67	==)
