level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	17290	-1	
2	1	1	0	0	0	114	18	10	9	-1	
3	1	1	1	0	0	114	18	10	9	-1	
4	1	1	1	1	0	114	18	10	9	-1	
5	1	1	1	1	1	114	18	10	9	77	ite
2	1	2	0	0	0	255	17	40	10	-1	
3	1	2	1	0	0	255	17	40	10	-1	
4	1	2	1	1	0	255	17	40	10	-1	
5	1	2	1	1	1	255	17	40	10	12	End)
2	1	3	0	0	0	321	16	129	11	-1	
3	1	3	1	0	0	321	16	129	11	-1	
4	1	3	1	1	0	321	16	129	11	-1	
5	1	3	1	1	1	321	17	20	10	0	PR
5	1	3	1	1	2	346	20	19	7	0	a
5	1	3	1	1	3	369	16	54	11	44	es
5	1	3	1	1	4	419	8	10	28	0	A
5	1	3	1	1	5	429	17	5	10	0	e
2	1	4	0	0	0	58	18	24	11	-1	
3	1	4	1	0	0	58	18	24	11	-1	
4	1	4	1	1	0	58	18	24	11	-1	
5	1	4	1	1	1	58	18	24	11	85	ing
5	1	4	1	1	2	72	9	13	28	56	tl
2	1	5	0	0	0	138	18	88	12	-1	
3	1	5	1	0	0	138	18	88	12	-1	
4	1	5	1	1	0	138	18	88	12	-1	
5	1	5	1	1	1	138	18	88	12	3	Crotty
2	1	6	0	0	0	230	28	38	1	-1	
3	1	6	1	0	0	230	28	38	1	-1	
4	1	6	1	1	0	230	28	38	1	-1	
5	1	6	1	1	1	230	28	38	1	78	Privac
2	1	7	0	0	0	1240	14	16	16	-1	
3	1	7	1	0	0	1240	14	16	16	-1	
4	1	7	1	1	0	1240	14	16	16	-1	
5	1	7	1	1	1	1240	14	16	16	23	Od
2	1	8	0	0	0	140	68	24	10	-1	
3	1	8	1	0	0	140	68	24	10	-1	
4	1	8	1	1	0	140	68	24	10	-1	
5	1	8	1	1	1	140	68	24	10	20	is
2	1	9	0	0	0	185	68	36	10	-1	
3	1	9	1	0	0	185	68	36	10	-1	
4	1	9	1	1	0	185	68	36	10	-1	
5	1	9	1	1	1	185	68	36	10	6	aC)
2	1	10	0	0	0	242	68	47	13	-1	
3	1	10	1	0	0	242	68	47	13	-1	
4	1	10	1	1	0	242	68	47	13	-1	
5	1	10	1	1	1	242	68	47	13	36	Oia
2	1	11	0	0	0	311	67	46	11	-1	
3	1	11	1	0	0	311	67	46	11	-1	
4	1	11	1	1	0	311	67	46	11	-1	
5	1	11	1	1	1	311	67	46	11	15	ono
2	1	12	0	0	0	378	68	89	10	-1	
3	1	12	1	0	0	378	68	89	10	-1	
4	1	12	1	1	0	378	68	89	10	-1	
5	1	12	1	1	1	378	68	89	10	12	eT
2	1	13	0	0	0	488	68	56	10	-1	
3	1	13	1	0	0	488	68	56	10	-1	
4	1	13	1	1	0	488	68	56	10	-1	
5	1	13	1	1	1	488	68	56	10	21	Creare’
2	1	14	0	0	0	565	67	53	14	-1	
3	1	14	1	0	0	565	67	53	14	-1	
